RowId , Time  , TimeInterval  , F00E:3216  , F00E:3217  , F00E:3218  , F00E:3219  , F00E:3220  , F00E:3221  , F00E:3222  , F00E:3223  , F00E:3224  , F00E:5714  , F00E:3225  , Difference  , Label 
0,1543527505.04355,0.0,-1.0,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,0.0,-1.0
1,1543527753.770068,248.7265179157257,189.4,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,399.9774011478194,-1.0
2,1543527807.269393,53.49932503700256,0.0,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,277.2150692489877,-1.0
3,1543527807.468389,0.19899606704711914,502.2,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,505.02059826084337,-1.0
4,1543527807.519311,0.05092191696166992,1594.6,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,1092.4000112225353,-1.0
5,1543527807.568371,0.04906010627746582,2686.4,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,1091.8000011038473,-1.0
6,1543527807.618309,0.04993796348571777,-1.0,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,2687.4000004641234,-1.0
7,1543527807.818298,0.19998908042907715,-1.0,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,0.2500219390109948,-1.0
8,1543527807.868358,0.05005979537963867,2985.7,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,2986.700004182672,-1.0
9,1543527807.919303,0.05094504356384277,2844.4,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,141.30000918676916,-1.0
10,1543527807.9693,0.04999709129333496,1961.7,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,882.7000014164539,-1.0
11,1543527808.019341,0.05004096031188965,1088.8,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,872.9000014343566,-1.0
12,1543527808.068415,0.04907393455505371,174.0,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,914.800001316783,-1.0
13,1543527808.118355,0.04994010925292969,0.0,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,174.00000716886413,-1.0
14,1543527809.168414,1.0500590801239014,181.1,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,181.10580571044002,-1.0
15,1543527809.218349,0.04993486404418945,344.6,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,163.50306646035187,-1.0
16,1543527809.269359,0.0510101318359375,476.6,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,132.00000986056688,-1.0
17,1543527809.318351,0.04899191856384277,592.4,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,115.80001038117942,-1.0
18,1543527809.368398,0.05004692077636719,692.1,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,99.700012566736,-1.0
19,1543527809.418344,0.04994606971740723,776.6,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,84.50001476106411,-1.0
20,1543527809.468529,0.05018496513366699,876.8,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,100.20001256780252,-1.0
21,1543527809.519341,0.0508120059967041,946.7,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,69.9000184710501,-1.0
22,1543527809.568417,0.049076080322265625,990.0,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,43.30002784612377,-1.0
23,1543527809.618336,0.04991888999938965,1005.6,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,15.600079891010418,-1.0
24,1543527809.718336,0.10000014305114746,1005.0,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,0.6103344661065041,-1.0
25,1543527809.76933,0.050993919372558594,993.6,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,11.400219383405377,-1.0
26,1543527809.818329,0.04899907112121582,969.2,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,24.400049280450013,-1.0
27,1543527809.868493,0.050163984298706055,938.8,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,30.400041410865693,-1.0
