RowId , Time  , TimeInterval  , FEBF:904  , FEBF:905  , FEBF:906  , FEBF:907  , FEBF:908  , FEBF:909  , FEBF:910  , Difference  , Label 
0,1543527505.071589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1,1543527609.356647,104.28505802154541,1.625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,147.51063445770336,-1.0
2,1543527609.456819,0.10017204284667969,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,104.18560901502963,-1.0
3,1543527609.556989,0.10016989707946777,2.375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3881481782586587,-1.0
4,1543527609.657168,0.10017895698547363,2.625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2693247547196122,-1.0
5,1543527609.757342,0.1001741886138916,3.125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5099361411855301,-1.0
6,1543527609.857534,0.10019183158874512,3.375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2693295442917134,-1.0
7,1543527609.957706,0.10017204284667969,3.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.16018563780711223,-1.0
8,1543527610.057924,0.10021805763244629,3.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.10021806819621318,-1.0
9,1543527610.158137,0.10021305084228516,3.375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.16021128419741967,-1.0
10,1543527610.258319,0.10018181800842285,3.375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.10018182287702031,-1.0
11,1543527610.358516,0.10019707679748535,3.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.16020129347665024,-1.0
12,1543527610.458684,0.10016798973083496,3.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.10016799395402758,-1.0
13,1543527610.558869,0.10018491744995117,3.125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.16019368892375632,-1.0
14,1543527610.659529,0.10066008567810059,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.16049198931276162,-1.0
