RowId , Time  , TimeInterval  , FEF1:69  , FEF1:70  , FEF1:1633  , FEF1:3807  , FEF1:84  , FEF1:595  , FEF1:596  , FEF1:597  , FEF1:598  , FEF1:599  , FEF1:600  , FEF1:601  , FEF1:602  , FEF1:86  , FEF1:976  , FEF1:527  , FEF1:968  , FEF1:967  , FEF1:966  , FEF1:1237  , Difference  , Label 
0,1543527505.053601,0.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,-1.0
1,1543527536.44904,31.39543890953064,3.0,3.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,44.41111537266477,-1.0
2,1543527554.749022,18.29998207092285,3.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,22.52510451935656,-1.0
3,1543527594.240006,39.490983963012695,3.0,3.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,44.828521897977865,-1.0
4,1543527597.24001,3.0000040531158447,3.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,36.627744117037935,-1.0
5,1543527597.340947,0.1009368896484375,3.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0683511327725936,-1.0
6,1543527600.941234,3.6002871990203857,3.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,5.119328130051013,-1.0
7,1543527601.639988,0.698753833770752,3.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.1475629921998682,-1.0
8,1543527601.739988,0.10000014305114746,3.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,1.1698316164134896,-1.0
9,1543527605.740316,4.000327825546265,3.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,5.675841677027067,-1.0
