F003:558, mse: 0.0000, mae: 0.0000, std: 0.0000
F003:559, mse: 0.0000, mae: 0.0000, std: 0.0000
F003:1437, mse: 0.0000, mae: 0.0000, std: 0.0000
F003:2970, mse: 0.0121, mae: 0.0221, std: 0.4677
F003:91, mse: 0.0121, mae: 0.0221, std: 0.4677
F003:92, mse: 0.0121, mae: 0.0221, std: 0.4677
F003:974, mse: 0.0121, mae: 0.0221, std: 0.4677
F003:29, mse: 0.0121, mae: 0.0221, std: 0.4677
F003:2979, mse: 0.0001, mae: 0.0002, std: 0.1136
F003:5021, mse: 0.0000, mae: 0.0000, std: 0.0000
F003:5399, mse: 0.0000, mae: 0.0000, std: 0.0000
F003:5400, mse: 0.0000, mae: 0.0000, std: 0.0000
F003:3357, mse: 0.0000, mae: 0.0000, std: 0.0000
F003:5398, mse: 0.0000, mae: 0.0000, std: 0.0000
