F00E:3216, mse: 2486.8767, mae: 4.1143, std: 166.1160
F00E:3217, mse: 5.9260, mae: 0.4698, std: 8.4010
F00E:3218, mse: 0.0000, mae: 0.0000, std: 0.0000
F00E:3219, mse: 0.0000, mae: 0.0000, std: 0.0000
F00E:3220, mse: 0.0000, mae: 0.0000, std: 0.0000
F00E:3221, mse: 0.0000, mae: 0.0000, std: 0.0000
F00E:3222, mse: 0.0000, mae: 0.0000, std: 0.0000
F00E:3223, mse: 0.0000, mae: 0.0000, std: 0.0000
F00E:3224, mse: 0.0000, mae: 0.0000, std: 0.0000
F00E:5714, mse: 0.0000, mae: 0.0000, std: 0.0000
F00E:3225, mse: 0.0000, mae: 0.0000, std: 0.0000
