FEF1:69, mse: 0.0000, mae: 0.0000, std: 0.0000
FEF1:70, mse: 0.0000, mae: 0.0000, std: 0.0000
FEF1:1633, mse: 0.0013, mae: 0.0017, std: 0.0547
FEF1:3807, mse: 0.0000, mae: 0.0000, std: 0.0000
FEF1:84, mse: 0.1192, mae: 0.1074, std: 15.5303
FEF1:595, mse: 0.0129, mae: 0.0239, std: 0.4823
FEF1:596, mse: 0.0061, mae: 0.0106, std: 0.3173
FEF1:597, mse: 0.0006, mae: 0.0006, std: 0.0245
FEF1:598, mse: 0.0033, mae: 0.0018, std: 0.0600
FEF1:599, mse: 0.0033, mae: 0.0018, std: 0.0600
FEF1:600, mse: 0.0033, mae: 0.0018, std: 0.0600
FEF1:601, mse: 0.0033, mae: 0.0018, std: 0.0600
FEF1:602, mse: 0.0033, mae: 0.0018, std: 0.0600
FEF1:86, mse: 0.0060, mae: 0.0083, std: 0.1061
FEF1:976, mse: 0.0021, mae: 0.0014, std: 0.0734
FEF1:527, mse: 0.0112, mae: 0.0032, std: 0.1714
FEF1:968, mse: 0.0000, mae: 0.0000, std: 0.0000
FEF1:967, mse: 0.0000, mae: 0.0000, std: 0.0000
FEF1:966, mse: 0.0000, mae: 0.0000, std: 0.0000
FEF1:1237, mse: 0.0000, mae: 0.0000, std: 0.0000
