Time,F003:558,F003:559,F003:1437,F003:2970,F003:91,F003:92,F003:974,F003:29,F003:2979,F003:5021,F003:5399,F003:5400,F003:3357,F003:5398,F004:899,F004:4154,F004:512,F004:513,F004:190,F004:1483,F004:1675,F004:2432,F00A:2659,F00A:132,F00A:5257,F00E:3216,F00E:3217,F00E:3218,F00E:3219,F00E:3220,F00E:3221,F00E:3222,F00E:3223,F00E:3224,F00E:5714,F00E:3225,FCFD:5262,FCFD:5263,FCFD:5313,FCFD:5314,FDA3:3470,FDA3:641,FDA3:3675,FDA3:5369,FDA3:5366,FDA3:5367,FDA3:5368,FE6E:1592,FE6E:1593,FE6E:1594,FE6E:1595,FEBF:904,FEBF:905,FEBF:906,FEBF:907,FEBF:908,FEBF:909,FEBF:910,FEF1:69,FEF1:70,FEF1:1633,FEF1:3807,FEF1:84,FEF1:595,FEF1:596,FEF1:597,FEF1:598,FEF1:599,FEF1:600,FEF1:601,FEF1:602,FEF1:86,FEF1:976,FEF1:527,FEF1:968,FEF1:967,FEF1:966,FEF1:1237,FEF2:183,FEF2:184,FEF2:185,FEF2:51,FEF2:3673
1525893776.000013,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,602.0,-1.0,0.0,-1.0,187.65,190.7,-1.0,-1.0,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,-1.0,-1.0,72.6289,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,5.4,0.0,3.0957,-1.0,-1.0
1525893776.01416,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,1.5,0.0,0.0,0.0,600.5,-1.0,0.0,-1.0,187.65,190.7,-1.0,-1.0,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,-1.0,-1.0,72.6289,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,5.4,0.0,3.0957,-1.0,-1.0
1525893776.015523,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,599.0,-1.0,0.0,-1.0,187.65,190.7,-1.0,-1.0,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,-1.0,-1.0,72.6289,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,5.4,0.0,3.0957,-1.0,-1.0
1525893776.035404,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,599.125,-1.0,0.0,-1.0,187.65,190.7,-1.0,-1.0,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,-1.0,-1.0,72.6289,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,5.4,0.0,3.0957,-1.0,-1.0
1525893776.055396,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,599.5,-1.0,0.0,-1.0,187.65,190.7,-1.0,-1.0,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,-1.0,-1.0,72.6289,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,5.4,0.0,3.0957,-1.0,-1.0
1525893776.075466,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,601.5,-1.0,0.0,-1.0,187.65,190.7,-1.0,-1.0,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,-1.0,-1.0,72.6289,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,5.4,0.0,3.0957,-1.0,-1.0
1525893776.095467,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,602.25,-1.0,0.0,-1.0,187.65,190.7,-1.0,-1.0,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,-1.0,-1.0,72.6289,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,5.4,0.0,3.0957,-1.0,-1.0
1525893776.115577,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,6.0,0.0,0.0,0.0,603.125,-1.0,0.0,-1.0,187.65,190.7,-1.0,-1.0,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,-1.0,-1.0,72.6289,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,5.4,0.0,3.0957,-1.0,-1.0
1525893776.133726,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,601.4375,-1.0,0.0,-1.0,187.65,190.7,-1.0,-1.0,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,-1.0,-1.0,72.6289,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,5.4,0.0,3.0957,-1.0,-1.0
1525893776.135427,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,599.75,-1.0,0.0,-1.0,187.65,190.7,-1.0,-1.0,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,-1.0,-1.0,72.6289,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,5.4,0.0,3.0957,-1.0,-1.0
1525893776.153757,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,1.5,0.0,0.0,0.0,598.9375,-1.0,0.0,-1.0,187.65,190.7,-1.0,-1.0,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,-1.0,-1.0,72.6289,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,5.4,0.0,3.0957,-1.0,-1.0
1525893776.15541,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,598.125,-1.0,0.0,-1.0,187.65,190.7,-1.0,-1.0,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,-1.0,-1.0,72.6289,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,5.4,0.0,3.0957,-1.0,-1.0
1525893776.173741,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,598.875,-1.0,0.0,-1.0,187.65,190.7,-1.0,-1.0,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,-1.0,-1.0,72.6289,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,5.4,0.0,3.0957,-1.0,-1.0
1525893776.175474,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,599.625,-1.0,0.0,-1.0,187.65,190.7,-1.0,-1.0,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,-1.0,-1.0,72.6289,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,5.4,0.0,3.0957,-1.0,-1.0
